#,paper_title,conference_journal,literature_type,year,method,keywords,artifact_availability,hosting_platform,link,tool_name
1,{PAtt}: Physics-based Attestation of Control Systems,RAID,Scientific,2019,Defense,None,No,NA,NA,NA
2,{PLC-Sleuth}: Detecting and Localizing {PLC} Intrusions Using Control Invariants,RAID,Scientific,2020,Defense,None,No,NA,NA,PLC-Sleuth
3,3S CoDeSys,Digital Bond,Grey,2013,Attack,None,No,NA,NA,NA
4,A firmware verification tool for programmable logic controllers,International Conference on Critical Infrastructure Protection,Scientific,2012,Defense,"Programmable logic controllers, firmware verification",No,NA,NA,NA
5,A new Detection Approach against attack/intrusion in Measurement and Control System with Fins protocol,IEEE CAC,Scientific,2020,Defense,"detection approach, mode-switching cyber- attack, measurement and control system, Fins protocol",No,NA,NA,NA
6,A novel monitoring system for the data integrity of reactor protection system using blockchain technology,IEEE Access,Scientific,2020,Defense,"Blockchain, cybersecurity, data integrity, detection, monitoring system, programmable logic controller (PLC), reactor protection system (RPS).",No,NA,NA,NA
7,A Quad-Redundant PLC Architecture for Cyber-Resilient Industrial Control Systems,IEEE Embedded Systems Letters,Scientific,2020,Defense,"Cyberattacks, cyber-resilience, industrial con- trol systems (ICSs), programmable logic controller (PLC)",No,NA,NA,NA
8,A stealth program injection attack against S7-300 PLCs,IEEE ICIT,Scientific,2021,Attack,"S7-300 PLCs, Injection Attack, Stealthy Attack, Replay Attack, Fake PLC",Yes,Pseudocode,NA,NA
9,A Stealthy False Command Injection Attack on Modbus based SCADA Systems,CCNC,Scientific,2023,Attack,"SCADA; PLCs; ICSs; Modbus Protocol;
Cyber-attacks; Command Injection Attacks",No,NA,NA,NA
10,A Trusted Safety Verifier for Process Controller Code,NDSS,Scientific,2014,Defense,None,No,NA,NA,TSV
11,"A virtual environment for industrial control systems: A nonlinear use-case in attack detection, identification, and response",Proceedings of the 4th Annual Industrial Control System Security Workshop,Scientific,2018,Defense,"Virtual Environment Testbeds, Industrial Control Systems, Network Security, Network Function Virtualization",Yes,GitHub,https://github.com/Cyphysecurity/ICS-SDN,ICS-SDN
