#,method_name,mitigation,paper_title,year,plc_models_count,plc_models,manufacturers_count,manufacturers,softplc_platform,target_component,strategy,effectiveness,weaknesses,infrastructure_overhead,infrastructure_changes,plc_overhead,overhead_details,maintenance,maintenance_details,access_level,vector
1,D-Box,Limit Access to MCU Resources,D-Box: DMA-enabled Compartmentalization for Embedded Applications,2022,1,We-con LX3VM 2424M,1,We-con,NA,Firmware,Prevention,High,,None,NA,Medium,2% overhead,None,NA,Physical,Modbus
2,PLC-VBS,Vulnerability Scanning,"Snakes and Ladder Logic: PLC-VBS, a PLC Control Logic Vulnerability Discovery Tool",2022,1,Siemens S7-300,1,Siemens,NA,Control Logic,Prevention,Low,Adversary can improve their abilities,None,NA,None,NA,None,NA,LAN,s7comm
3,PLCrypto,Encrypt Network Traffic,PLCrypto: A Symmetric Cryptographic Library for Programmable Logic Controllers,2021,1,Allen-Bradley ControlLogix 5571,1,Rockwell,NA,Network,Prevention,High,NA,None,NA,None,NA,None,NA,LAN,EtherNet/IP
4,vBump,Network Intrusion Prevention,vBump: Securing Ethernet-based Industrial Control System Networks with VLAN-based Traffic Aggregation,2021,1,Wago PFC200,1,Wago,CODESYS,Network,Prevention,Medium,Hack vBump server,High,vBump server and VLAN Confiuration,None,NA,Medium,Changed required when topology changes,LAN,IEC 61850 GOOSE
5,PCAT,Validate Program Inputs,PCAT: PLC Command Analysis Tool for automatic incidence response in Water Treatment Plants,2021,not specified,not specified,1,Rockwell,NA,Network,Prevention,Medium,Delay in processing commands,Medium,Argus and PCAT host,None,NA,None,NA,LAN,EtherNet/IP
6,ORRIS,Antivirus/Antimalware,Remote Non-Intrusive Malware Detection for PLCs based on Chain of Trust Rooted in Hardware,2021,1,Wago PFC200,1,Wago,CODESYS,OS,Detection,High,NA,Medium,Power Debug Pro,Medium,JTAG connection,Medium,None,Physical,JTAG
7,PLC redundancy framework,Redundancy of Service,Enabling isolation and recovery in PLC redundancy framework of metro train systems,2021,not specified,not specified,1,Rockwell,NA,CPU,Prevention,Low,Single point of failure,High,"More PLCs, network configuration, Attak detector",Medium,Switchover overhead,Medium,May require manual intervention in Switchover,LAN,EtherNet/IP
8,AttkFinder,Process Vulnerability Discovery,AttkFinder: Discovering Attack Vectors in PLC Programs using Information Flow Analysis,2021,2,Allen-Bradley ControlLogix 5571,2,"Rockwell, Wago",NA,Control Logic,Prevention,Low,Adversary can improve their abilities,None,NA,None,NA,None,NA,LAN,"EtherNet/IP, CIP"
9,PLC Watermarking,Network Intrusion Prevention,Scanning the Cycle: Timing-based Authentication on PLCs,2021,2,"Allen-Bradley, Wago",2,"Rockwell, Wago",NA,Network,Detection,High,,Medium,Collector Host,None,NA,None,NA,LAN,"EtherNet/IP, CIP"
10,PLCDefender,Attestation,PLCDefender: Improving remote attestation techniques for PLCs using physical model,2020,2,"Allen-Bradley, Wago",2,"Rockwell, Wago",OpenPLC,Control Logic,Prevention,Medium,False positives,High,"CMC, Logger, Verifier",Medium,Log files,None,NA,Fieldbus,EtherNet/IP
11,VETPLC,Process Vulnerability Discovery,Towards automated safety vetting of plc code in real-world plants,2019,1,Allen-Braley ControlLogix 5571,1,Rockwell,OpenPLC,Control Logic,Prevention,Medium,NA,None,NA,None,NA,None,NA,Fieldbus,"EtherNet/IP, Modbus"
12,Shade,Network Intrusion Prevention,Overshadow plc to detect remote control-logic injection attacks,2019,2,"Modicon M221, MicroLogix 1400",2,"Rockwell, Schneider Electric",NA,Control Logic,Detection,Medium,False positives,None,NA,Medium,Overhead mentioned in table in paper,None,NA,LAN,EtherNet/IP
13,Optimised Datablocks,Encrypt Sensitive Information,PLC memory attack detection and response in a clean water supply system,2019,1,Siemens S7-1500,1,Siemens,NA,Memory,Prevention,Medium,Optimized datablocks may be compromized,None,NA,Medium,optimized datablocks,None,NA,Internet,s7comm
14,Similo,Process Vulnerability Discovery,Automated reconstruction of control logic for programmable logic controller forensics,2019,3,"MicroLogix 1400, MicroLogix 1100, Modicon M221",2,"Rockwell, Schneider Electric",NA,Control Logic,Responsive,Medium,False positives,Medium,Virual PLC,None,NA,Medium,Similo takes pcap and then analyzes,LAN,EtherNet/IP
15,Host Anomaly Detecton,Network Intrusion Prevention,Temporal execution behavior for host anomaly detection in programmable logic controllers,2019,5,"MicroLogix 1100, MicroLogix 1400, Siemens S7-1200, Modicon M221, Modicon Quantum",3,"Rockwell, Schneider Electric, Siemens",NA,Control Logic,Detection,Low,Attacker can mimic the normal behavior,None,NA,Medium,small ammount of code,None,NA,LAN,Modbus TCP
16,SDN-enabled automatic response,Network Intrusion Prevention,"A virtual environment for industrial control systems: A nonlinear use-case in attack detection, identification, and response",2018,0,not specified,0,not specified,NA,I/O,Detection,Medium,SDN switch as a single point of failur,Medium,SDN Switch,None,NA,None,NA,LAN,EtherNet/IP
17,Zeus,Out-of-Band Communications Channel,"Watch me, but don't touch me! contactless control flow monitoring via electromagnetic emanations",2017,1,CompactLogix L18ER,1,Rockwell,NA,Control Logic,Detection,Medium,Can have false negatives,Medium,Electromagnetic Sensor,None,NA,None,NA,Physical,Electronic Emanation
18,ECFI,Exploit Protection,ECFI: Asynchronous control flow integrity for programmable logic controllers,2017,1,Wago PFC200,1,Wago,OpenPLC,Runtime,Prevention,Medium,False positives,None,NA,Medium,1.5 % overhead,None,NA,Physical,Runtime
19,GhostBuster,Exploit Protection,Ghost in the PLC vs GhostBuster: on the feasibility of detecting pin control attack in Programmable Logic Controllers,2017,1,Wago PFC200,1,Wago,CODESYS,Runtime,Detection,Medium,Data Hooking,None,NA,Medium,About 10 ms,None,NA,Physical,Runtime
20,Industrial Firewall for Modbus/TCP,Filter Network Traffic,Design and Implementation of Industrial Firewall for Modbus/TCP,2016,1,Schneider M340,1,Schneider Electric,NA,Network,Prevention,Medium,Hack Firewall Host,Medium,Industrial Firewall Hardware,None,NA,None,NA,LAN,Modbus TCP
21,Safety Verification,Control Logic Verification,Detecting PLC control corruption via on-device runtime verification,2016,1,SIMATIC ET 200SP,1,Siemens,NA,Network,Detection,Medium,"Periodic data required, missing packets",Medium,Embedded Hypervisor,Medium,New Blocks and hypervisor,None,,LAN,s7comm
22,Cross-layer fingerprinting,Network Intrusion Prevention,Who's in Control of Your Control System? Device Fingerprinting for Cyber-Physical Systems,2016,1,not specified,1,Siemens,NA,Network,Detection,High,NA,None,NA,None,NA,None,NA,LAN,DNP3
23,Physical fingerprinting,Network Intrusion Prevention,Who's in Control of Your Control System? Device Fingerprinting for Cyber-Physical Systems,2016,1,not specified,1,Siemens,NA,Network,Detection,High,NA,None,NA,None,NA,None,NA,LAN,DNP3
24,CPAC,Authorization Enforcement,CPAC: securing critical infrastructure with cyber-physical access control,2016,1,Bachmann MX231,1,Bachmann,NA,CPU,Prevention,Medium,Spoofing,Medium,"EMS, policy generation",Medium,s symbolic execution with lightweight dynamic execution monitoring,Medium,Maintain policies,LAN,Firmware
25,Side-channel Anomaly Detection,Out-of-Band Communications Channel,Using timing-based side channels for anomaly detection in industrial control systems,2016,1,ControlLogix 5561,1,Rockwell,NA,Control Logic,Detection,Medium,False positives,None,NA,None,NA,Medium,Requires field device fingerprinting,LAN,EtherNet/IP
26,Argus,Network Intrusion Prevention,Argus: An orthogonal defense framework to protect public infrastructure against cyber-physical attacks,2016,not specified,not specified,not specified,not specified,NA,Control Logic,Detection,Medium,False positives,High,Raspberry PI an infra cofigurations,None,NA,High,,LAN,EtherNet/IP
27,Smart I/O Modules,Validate Program Inputs,Smart I/O modules for mitigating cyber-physical attacks on industrial control systems,2019,not specified,not specified,not specified,not specified,NA,I/O,Prevention,High,NA,Medium,Smart I/O modules,Medium,Minimal overhead,None,NA,Fieldbus,Modbus
28,CPLCD,Control Logic Verification,PLC forensics based on control program logic change detection,2015,1,Siemens S7-1200,1,Siemens,NA,Control Logic,Detection,Medium,It cannot provide sufficient information for forensic investigation,None,NA,None,NA,None,NA,Internet,s7comm
29,Trusted Safety Verifier,Control Logic Verification,A Trusted Safety Verifier for Process Controller Code,2014,not specified,not specified,1,Siemens,NA,Control Logic,Detection,High,NA,Medium,Raspberry PI,None,NA,None,NA,LAN,N/S
30,IDS for S7 networks,Network Intrusion Prevention,Accurate modeling of the siemens s7 scada protocol for intrusion detection and digital forensics,2014,1,SIMATIC S7-200,1,Siemens,NA,Network,Detection,Medium,"Operator action, unmodeled events",Medium,IDS instalation and configuration,None,NA,None,,Fieldbus,s7comm
31,DFA-based intrusion detection,Network Intrusion Prevention,Accurate modeling of Modbus/TCP for intrusion detection in SCADA systems,2014,1,Modicon,1,Schneider Electric,NA,Network,Detection,Medium,"Operator action, unmodeled events",Medium,IDS instalation and configuration,None,NA,None,,LAN,Modbus TCP
32,WeaselBoard,Exploit Protection,WeaselBoard: zero-day exploit detection for programmable logic controllers,2013,2,"Siemens S7-300, ControlLogix 5000",2,"Siemens, Rockwell",NA,CPU,Prevention,High,NA,High,"Weasel board, analyzer station, backpane connection",High,Weaselboard attached to bakpan,High,"Monitoring, system audit maintenane",Physical,Backpane
33,C2,Authorization Enforcement,CPS: Stateful policy enforcement for control system device usage,2013,1,not specified,1,Siemens,NA,I/O,Prevention,High,NA,Medium,Raspberry PI,Medium,NA,None,NA,Fieldbus,N/S
34,Firmware verification tool,Code Signing,A firmware verification tool for programmable logic controllers,2012,1,FlexLogix 5434,1,Rockwell,NA,Firmware,Prevention,High,NA,None,NA,None,NA,None,NA,Physical,RS-232 Serial
35,SCADA Protocol Obfuscation,Encrypt Network Traffic,SCADA protocol obfuscation: A proactive defense line in SCADA systems,2007,not specified,not specified,1,Schneider Electric,NA,Network,Prevention,Medium,Latency,None,NA,None,Modbus messaging change,None,NA,LAN,Modbus TCP
36,ABAC model for PLC,Authorization Enforcement,Attribute Based Access Control Model for Protecting Programmable Logic Controllers,2022,2,"Siemens S7-1500, CompactLogix",2,"Siemens, Rockwell",NA,Network,Prevention,Medium,Hack ABAC Gateway,Medium,ABAC Gateway,None,NA,None,NA,LAN,s7comm
37,Hash Authentication,Encrypt Network Traffic,An Effective Defense Method based on Hash Authentication against Mode-switching Attack of Ormon PLC,2022,1,CP2E,1,Omron,NA,Network,Prevention,High,NA,None,NA,None,NA,None,NA,Internet,FINS protocol
38,PLC-Sleuth,Network Intrusion Prevention,{PLC-Sleuth}: Detecting and Localizing {PLC} Intrusions Using Control Invariants,2020,1,Siemens S7-300,1,Siemens,NA,Network,Detection,Medium,Forge sensor logs,Medium,IDS instalation and configuration,None,NA,None,,Fieldbus,s7comm
39,Logging input simulation,Process Vulnerability Discovery,Forensic Investigation of Industrial Control Systems Using Deterministic Replay,2020,1,MicroLogix 1100,1,Rockwell,NA,Network,Detection,Medium,Clean copy of controller program,Medium,IDS instalation and configuration,None,NA,None,,Fieldbus,EtherNet/IP
40,Quad-redundant PLC,Redundancy of Service,A Quad-Redundant PLC Architecture for Cyber-Resilient Industrial Control Systems,2020,1,Siemens S7-1500,1,Siemens,NA,CPU,Prevention,Low,"Fail-over error, PLC-IO sigle poit of failue",High,Multiple PLCs and network changes,Medium,Automatic Regeneration,Medium,After failover and regeneration maintenance,Fieldbus,Output
41,Detection of Control Logic Manipulation,Control Logic Verification,Detection and Analysis Technique for Manipulation Attacks on PLC Control Logic,2020,1,XGB,1,LS Electric,NA,Control Logic,Detection,Medium,The proposed technique can be used as a reference tool for providing countermeasures,None,NA,None,NA,None,NA,LAN,GLOFA protocol
42,Traffic Data Classification,Network Intrusion Prevention,Traffic data classification to detect man-in-the-middle attacks in industrial control system,2020,1,Siemens S7-300,1,Siemens,NA,Network,Prevention,Medium,Multi-hop data,None,NA,None,NA,None,NA,LAN,s7comm
43,ShadowPLCs,Network Intrusion Prevention,Shadowplcs: A novel scheme for remote detection of industrial process control attacks,2020,1,Siemens S7-300,1,Siemens,NA,Control Logic,Detection,Medium,False positives,None,NA,Medium,additional network traffic,Medium,rule generation based on code,LAN,s7comm
44,Hidden Sensor Measurements,Network Intrusion Prevention,The more the merrier: adding hidden measurements to secure industrial control systems,2020,1,not specified,1,Rockwell,NA,I/O,Detection,Medium,Sensors comproised,Medium,Hidden sensors,None,NA,None,NA,LAN,CIP
45,FINS detection rules,Network Allowlists,A new Detection Approach against attack/intrusion in Measurement and Control System with Fins protocol,2020,2,"CP2E, CJ1M",1,Omron,NA,Network,Prevention,Medium,Hack Snort host,Medium,Snort Host,None,NA,None,NA,LAN,FINS protocol
46,Digital twin-based security simulation,Redundancy of Service,Integrating digital twin security simulations in the security operations center,2020,not specified,not specified,not specified,not specified,NA,Network,Responsive,Low,,High,Digital Twin,None,NA,High,Digital twins need to be updated,LAN,N/S
